Trying 192.168.0.22...
Connected to graspr.
Escape character is '^]'.
START OF RUN:
1411434538163,channel 14,15,16,DEC(14),DEC(15),DEC(16)
1411434521312,0001101100010101,0000000000000000,0000000000000000,6933,0,0
1411434521313,0001101100110100,0000000000000000,0000000000000000,6964,0,0
1411434521315,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521316,0001101100010100,0000000000000000,0000000000000000,6932,0,0
1411434521318,0001101011001110,0000000000000000,0000000000000000,6862,0,0
1411434521320,0001101011101101,0000000000000000,0000000000000000,6893,0,0
1411434521322,0001101100010010,0000000000000000,0000000000000000,6930,0,0
1411434521323,0001101101010010,0000000000000000,0000000000000000,6994,0,0
1411434521325,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521327,0001101011010011,0000000000000000,0000000000000000,6867,0,0
1411434521328,0001101011101111,0000000000000000,0000000000000000,6895,0,0
1411434521330,0001101011000101,0000000000000000,0000000000000000,6853,0,0
1411434521331,0001101100010101,0000000000000000,0000000000000000,6933,0,0
1411434521333,0001101011011110,0000000000000000,0000000000000000,6878,0,0
1411434521335,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521336,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521338,0001101011001001,0000000000000000,0000000000000000,6857,0,0
1411434521340,0001101100000100,0000000000000000,0000000000000000,6916,0,0
1411434521341,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521343,0001101011010101,0000000000000000,0000000000000000,6869,0,0
1411434521345,0001101100110011,0000000000000000,0000000000000000,6963,0,0
1411434521346,0001101011100001,0000000000000000,0000000000000000,6881,0,0
1411434521348,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521350,0001101100011001,0000000000000000,0000000000000000,6937,0,0
1411434521351,0001101011001100,0000000000000000,0000000000000000,6860,0,0
1411434521353,0001101101011111,0000000000000000,0000000000000000,7007,0,0
1411434521355,0001101011111100,0000000000000000,0000000000000000,6908,0,0
1411434521356,0001101100011111,0000000000000000,0000000000000000,6943,0,0
1411434521358,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521360,0001101100110011,0000000000000000,0000000000000000,6963,0,0
1411434521361,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521363,0001101100010100,0000000000000000,0000000000000000,6932,0,0
1411434521364,0001101011010110,0000000000000000,0000000000000000,6870,0,0
1411434521366,0001101101001001,0000000000000000,0000000000000000,6985,0,0
1411434521368,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521369,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521372,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521374,0001101100100100,0000000000000000,0000000000000000,6948,0,0
1411434521376,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521377,0001101011001000,0000000000000000,0000000000000000,6856,0,0
1411434521379,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521381,0001101100011000,0000000000000000,0000000000000000,6936,0,0
1411434521382,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521384,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521386,0001101100100100,0000000000000000,0000000000000000,6948,0,0
1411434521387,0001101011100011,0000000000000000,0000000000000000,6883,0,0
1411434521389,0001101011010000,0000000000000000,0000000000000000,6864,0,0
1411434521391,0001101011011010,0000000000000000,0000000000000000,6874,0,0
1411434521393,0001101100011100,0000000000000000,0000000000000000,6940,0,0
1411434521394,0001101100010100,0000000000000000,0000000000000000,6932,0,0
1411434521396,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521397,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521399,0001101011100000,0000000000000000,0000000000000000,6880,0,0
1411434521401,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521402,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521404,0001101010110101,0000000000000000,0000000000000000,6837,0,0
1411434521406,0001101001110100,0000000000000000,0000000000000000,6772,0,0
1411434521407,0001101011100110,0000000000000000,0000000000000000,6886,0,0
1411434521409,0001101100010010,0000000000000000,0000000000000000,6930,0,0
1411434521411,0001101101001101,0000000000000000,0000000000000000,6989,0,0
1411434521412,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521414,0001101100010100,0000000000000000,0000000000000000,6932,0,0
1411434521416,0001101100101100,0000000000000000,0000000000000000,6956,0,0
1411434521417,0001101011101000,0000000000000000,0000000000000000,6888,0,0
1411434521419,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521421,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521422,0001101100010110,0000000000000000,0000000000000000,6934,0,0
1411434521424,0001101011100000,0000000000000000,0000000000000000,6880,0,0
1411434521426,0001101100000110,0000000000000000,0000000000000000,6918,0,0
1411434521427,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521429,0001101011000101,0000000000000000,0000000000000000,6853,0,0
1411434521431,0001101100000111,0000000000000000,0000000000000000,6919,0,0
1411434521432,0001101100000110,0000000000000000,0000000000000000,6918,0,0
1411434521434,0001101100100100,0000000000000000,0000000000000000,6948,0,0
1411434521435,0001101011111001,0000000000000000,0000000000000000,6905,0,0
1411434521437,0001101100100000,0000000000000000,0000000000000000,6944,0,0
1411434521439,0001101100100001,0000000000000000,0000000000000000,6945,0,0
1411434521440,0001101010110111,0000000000000000,0000000000000000,6839,0,0
1411434521442,0001101010000110,0000000000000000,0000000000000000,6790,0,0
1411434521444,0001101100000110,0000000000000000,0000000000000000,6918,0,0
1411434521445,0001101100101111,0000000000000000,0000000000000000,6959,0,0
1411434521447,0001101011010001,0000000000000000,0000000000000000,6865,0,0
1411434521449,0001101011010101,0000000000000000,0000000000000000,6869,0,0
1411434521450,0001101100100101,0000000000000000,0000000000000000,6949,0,0
1411434521452,0001101010111001,0000000000000000,0000000000000000,6841,0,0
1411434521454,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521455,0001101010100011,0000000000000000,0000000000000000,6819,0,0
1411434521457,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521458,0001101100001000,0000000000000000,0000000000000000,6920,0,0
1411434521460,0001101100000101,0000000000000000,0000000000000000,6917,0,0
1411434521462,0001101100100011,0000000000000000,0000000000000000,6947,0,0
1411434521464,0001101011001000,0000000000000000,0000000000000000,6856,0,0
1411434521465,0001101100101001,0000000000000000,0000000000000000,6953,0,0
1411434521467,0001101011001111,0000000000000000,0000000000000000,6863,0,0
1411434521468,0001101011001110,0000000000000000,0000000000000000,6862,0,0
1411434521470,0001101011010010,0000000000000000,0000000000000000,6866,0,0
1411434521472,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521474,0001101011011001,0000000000000000,0000000000000000,6873,0,0
1411434521476,0001101011111001,0000000000000000,0000000000000000,6905,0,0
1411434521478,0001101011010110,0000000000000000,0000000000000000,6870,0,0
1411434521480,0001101100010001,0000000000000000,0000000000000000,6929,0,0
1411434521482,0001101011111000,0000000000000000,0000000000000000,6904,0,0
1411434521483,0001101011000101,0000000000000000,0000000000000000,6853,0,0
1411434521485,0001101100001010,0000000000000000,0000000000000000,6922,0,0
1411434521487,0001101011111010,0000000000000000,0000000000000000,6906,0,0
1411434521488,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521490,0001101011111011,0000000000000000,0000000000000000,6907,0,0
1411434521492,0001101011111101,0000000000000000,0000000000000000,6909,0,0
1411434521493,0001101010110001,0000000000000000,0000000000000000,6833,0,0
1411434521495,0001101011100100,0000000000000000,0000000000000000,6884,0,0
1411434521496,0001101011100011,0000000000000000,0000000000000000,6883,0,0
1411434521498,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521500,0001101010110110,0000000000000000,0000000000000000,6838,0,0
1411434521502,0001101011001011,0000000000000000,0000000000000000,6859,0,0
1411434521503,0001101100101100,0000000000000000,0000000000000000,6956,0,0
1411434521505,0001101011100010,0000000000000000,0000000000000000,6882,0,0
1411434521506,0001101100000010,0000000000000000,0000000000000000,6914,0,0
1411434521508,0001101100100100,0000000000000000,0000000000000000,6948,0,0
1411434521510,0001101100011100,0000000000000000,0000000000000000,6940,0,0
1411434521511,0001101100001110,0000000000000000,0000000000000000,6926,0,0
1411434521513,0001101011001000,0000000000000000,0000000000000000,6856,0,0
1411434521515,0001101010000011,0000000000000000,0000000000000000,6787,0,0
1411434521516,0001101011100111,0000000000000000,0000000000000000,6887,0,0
1411434521518,0001101100000001,0000000000000000,0000000000000000,6913,0,0
1411434521520,0001101100011111,0000000000000000,0000000000000000,6943,0,0
1411434521521,0001101011001011,0000000000000000,0000000000000000,6859,0,0
1411434521523,0001101100011001,0000000000000000,0000000000000000,6937,0,0
1411434521525,0001101100011110,0000000000000000,0000000000000000,6942,0,0
1411434521526,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521528,0001101010100100,0000000000000000,0000000000000000,6820,0,0
1411434521530,0001101011111010,0000000000000000,0000000000000000,6906,0,0
1411434521531,0001101011011000,0000000000000000,0000000000000000,6872,0,0
1411434521533,0001101011011011,0000000000000000,0000000000000000,6875,0,0
1411434521535,0001101100101001,0000000000000000,0000000000000000,6953,0,0
1411434521536,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521538,0001101011100110,0000000000000000,0000000000000000,6886,0,0
1411434521540,0001101001111100,0000000000000000,0000000000000000,6780,0,0
1411434521541,0001101011100100,0000000000000000,0000000000000000,6884,0,0
1411434521543,0001101011101100,0000000000000000,0000000000000000,6892,0,0
1411434521545,0001101100000100,0000000000000000,0000000000000000,6916,0,0
1411434521546,0001101100010110,0000000000000000,0000000000000000,6934,0,0
1411434521548,0001101010111001,0000000000000000,0000000000000000,6841,0,0
1411434521550,0001101011010101,0000000000000000,0000000000000000,6869,0,0
1411434521551,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521553,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521554,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521556,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521558,0001101100100011,0000000000000000,0000000000000000,6947,0,0
1411434521559,0001101100101011,0000000000000000,0000000000000000,6955,0,0
